Date,Region_code,Org_code,Contract_code,Ambulance final dispositions,Recommend to A&E,N of calls
2017/7/13,,,111AG7,39,26,334
2017/7/13,,,111AG8,95,39,647
2017/7/14,,,111AA1,301,159,2088
2017/7/14,,,111AA2,62,23,432
2017/7/14,,,111AA4,76,50,777
2017/7/14,,,111AA5,63,52,628
2017/7/14,,,111AA6,24,21,229
2017/7/14,,,111AA7,26,28,335
2017/7/14,,,111AA9,15,12,156
2017/7/14,,,111AB2,49,45,695
2017/7/14,,,111AB4,35,36,427
2017/7/14,,,111AC2,47,35,371
2017/7/14,,,111AC3,62,53,637
2017/7/14,,,111AC4,42,45,504
2017/7/14,,,111AC5,48,50,557
2017/7/14,,,111AC6,65,34,403
2017/7/14,,,111AC7,17,5,169
2017/7/14,,,111AC8,72,26,536
2017/7/14,,,111AC9,257,201,2410
2017/7/14,,,111AD4,51,36,558
2017/7/14,,,111AD5,66,88,684
2017/7/14,,,111AD6,47,52,608
2017/7/14,,,111AD7,54,75,790
2017/7/14,,,111AD8,35,44,393
2017/7/14,,,111AD9,304,260,3500
2017/7/14,,,111AE1,126,113,1222
2017/7/14,,,111AE2,38,29,427
2017/7/14,,,111AE3,46,57,473
2017/7/14,,,111AE5,73,47,496
2017/7/14,,,111AE6,36,34,331
2017/7/14,,,111AE7,77,74,694
2017/7/14,,,111AE8,36,35,370
2017/7/14,,,111AE9,34,16,330
2017/7/14,,,111AF1,44,18,266
2017/7/14,,,111AF2,86,57,600
2017/7/14,,,111AF4,66,48,811
2017/7/14,,,111AF8,437,285,3898
2017/7/14,,,111AG4,51,37,339
2017/7/14,,,111AG5,62,68,781
2017/7/14,,,111AG6,238,208,2143
2017/7/14,,,111AG7,41,36,400
2017/7/14,,,111AG8,79,44,626
2017/7/15,,,111AA1,415,211,4063
2017/7/15,,,111AA2,80,32,904
2017/7/15,,,111AA4,107,68,1211
2017/7/15,,,111AA5,99,65,1258
2017/7/15,,,111AA6,28,20,271
2017/7/15,,,111AA7,39,38,428
2017/7/15,,,111AA9,22,20,272
2017/7/15,,,111AB2,60,77,1494
2017/7/15,,,111AB4,72,47,959
2017/7/15,,,111AC2,71,69,956
2017/7/15,,,111AC3,115,80,1440
2017/7/15,,,111AC4,78,67,1146
2017/7/15,,,111AC5,77,67,1192
2017/7/15,,,111AC6,54,93,1015
2017/7/15,,,111AC7,24,12,302
2017/7/15,,,111AC8,88,41,976
2017/7/15,,,111AC9,347,269,4491
2017/7/15,,,111AD4,70,57,763
2017/7/15,,,111AD5,104,89,949
2017/7/15,,,111AD6,104,100,1011
2017/7/15,,,111AD7,68,87,1289
2017/7/15,,,111AD8,33,52,467
2017/7/15,,,111AD9,513,441,6807
2017/7/15,,,111AE1,231,150,2497
2017/7/15,,,111AE2,49,52,761
2017/7/15,,,111AE3,102,71,1043
2017/7/15,,,111AE5,104,62,1038
2017/7/15,,,111AE6,45,60,717
2017/7/15,,,111AE7,115,88,1409
2017/7/15,,,111AE8,61,60,907
2017/7/15,,,111AE9,77,48,885
2017/7/15,,,111AF1,84,34,779
2017/7/15,,,111AF2,181,126,1440
2017/7/15,,,111AF4,99,61,1446
2017/7/15,,,111AF8,686,384,8622
2017/7/15,,,111AG4,104,58,922
2017/7/15,,,111AG5,116,98,1365
2017/7/15,,,111AG6,408,272,4803
2017/7/15,,,111AG7,46,54,786
2017/7/15,,,111AG8,113,81,1540
2017/7/16,,,111AA1,474,235,3536
2017/7/16,,,111AA2,74,24,801
2017/7/16,,,111AA4,98,67,1260
2017/7/16,,,111AA5,116,87,1183
2017/7/16,,,111AA6,32,23,256
2017/7/16,,,111AA7,36,35,381
2017/7/16,,,111AA9,28,11,265
2017/7/16,,,111AB2,86,83,1358
2017/7/16,,,111AB4,78,66,884
2017/7/16,,,111AC2,82,60,768
2017/7/16,,,111AC3,114,77,1186
2017/7/16,,,111AC4,70,93,1055
2017/7/16,,,111AC5,79,51,933
2017/7/16,,,111AC6,81,69,884
2017/7/16,,,111AC7,18,21,209
2017/7/16,,,111AC8,114,38,949
2017/7/16,,,111AC9,431,301,4092
2017/7/16,,,111AD4,74,46,698
2017/7/16,,,111AD5,90,88,884
2017/7/16,,,111AD6,81,95,848
2017/7/16,,,111AD7,63,108,1096
2017/7/16,,,111AD8,33,53,433
2017/7/16,,,111AD9,460,417,5852
2017/7/16,,,111AE1,214,136,2191
2017/7/16,,,111AE2,39,53,700
2017/7/16,,,111AE3,117,77,913
2017/7/16,,,111AE5,102,75,945
2017/7/16,,,111AE6,60,58,672
2017/7/16,,,111AE7,142,122,1254
2017/7/16,,,111AE8,68,54,722
2017/7/16,,,111AE9,79,36,774
2017/7/16,,,111AF1,99,49,705
2017/7/16,,,111AF2,176,121,1368
2017/7/16,,,111AF4,99,52,1201
2017/7/16,,,111AF8,742,416,7762
2017/7/16,,,111AG4,99,73,821
2017/7/16,,,111AG5,121,91,1212
2017/7/16,,,111AG6,409,292,4093
2017/7/16,,,111AG7,49,65,649
2017/7/16,,,111AG8,135,94,1321
2017/7/17,,,111AA1,327,238,2413
2017/7/17,,,111AA2,64,26,431
2017/7/17,,,111AA4,81,51,874
2017/7/17,,,111AA5,73,44,645
2017/7/17,,,111AA6,24,24,207
2017/7/17,,,111AA7,21,22,315
2017/7/17,,,111AA9,22,4,174
2017/7/17,,,111AB2,56,55,711
2017/7/17,,,111AB4,44,51,443
2017/7/17,,,111AC2,38,39,381
2017/7/17,,,111AC3,72,50,612
2017/7/17,,,111AC4,61,56,660
2017/7/17,,,111AC5,59,48,500
2017/7/17,,,111AC6,42,37,401
2017/7/17,,,111AC7,9,12,191
2017/7/17,,,111AC8,59,26,516
2017/7/17,,,111AC9,281,237,2493
2017/7/17,,,111AD4,57,42,546
2017/7/17,,,111AD5,58,74,663
2017/7/17,,,111AD6,62,85,800
2017/7/17,,,111AD7,74,102,842
2017/7/17,,,111AD8,33,40,446
2017/7/17,,,111AD9,333,260,3660
2017/7/17,,,111AE1,142,111,1141
2017/7/17,,,111AE2,36,33,418
2017/7/17,,,111AE3,63,62,481
2017/7/17,,,111AE5,62,49,549
2017/7/17,,,111AE6,43,31,288
2017/7/17,,,111AE7,91,85,724
2017/7/17,,,111AE8,69,40,399
2017/7/17,,,111AE9,44,30,347
2017/7/17,,,111AF1,48,22,305
2017/7/17,,,111AF2,100,77,666
2017/7/17,,,111AF4,65,43,615
2017/7/17,,,111AF8,522,323,4261
